iter	Passed	Remaining
832	3596	720
833	3597	716
834	3599	711
835	3601	706
836	3606	702
837	3607	697
838	3609	692
839	3610	687
840	3613	683
841	3614	678
842	3616	673
843	3622	669
844	3624	664
845	3626	660
846	3628	655
847	3630	650
848	3632	646
849	3634	641
850	3637	636
851	3639	632
852	3641	627
853	3643	622
854	3645	618
855	3647	613
856	3649	608
857	3651	604
858	3654	599
859	3655	595
860	3657	590
861	3658	585
862	3660	581
863	3662	576
864	3665	572
865	3667	567
866	3669	562
867	3671	558
868	3672	553
869	3674	549
870	3676	544
871	3680	540
872	3682	535
873	3684	531
874	3685	526
875	3687	521
876	3689	517
877	3691	512
878	3692	508
879	3694	503
880	3696	499
881	3700	495
882	3703	490
883	3704	486
884	3705	481
885	3707	476
886	3708	472
887	3710	468
888	3714	463
889	3716	459
890	3718	454
891	3719	450
892	3721	445
893	3723	441
894	3724	436
895	3726	432
896	3729	428
897	3731	423
898	3733	419
899	3734	414
900	3736	410
901	3738	406
902	3739	401
903	3741	397
904	3747	393
905	3749	388
906	3751	384
907	3753	380
908	3755	375
909	3757	371
910	3760	367
911	3762	363
912	3766	358
913	3769	354
914	3772	350
915	3776	346
916	3779	342
917	3780	337
918	3781	333
919	3783	329
920	3785	324
921	3788	320
922	3794	316
923	3796	312
924	3797	307
925	3799	303
926	3801	299
927	3803	295
928	3806	290
929	3807	286
930	3809	282
931	3811	278
932	3813	273
933	3815	269
934	3817	265
935	3818	261
936	3822	257
937	3824	252
938	3826	248
939	3827	244
940	3830	240
941	3831	235
942	3833	231
943	3839	227
944	3841	223
945	3843	219
946	3845	215
947	3846	211
948	3848	206
949	3850	202
950	3854	198
951	3857	194
952	3860	190
953	3862	186
954	3865	182
955	3868	178
956	3870	173
957	3871	169
958	3874	165
959	3876	161
960	3877	157
961	3881	153
962	3884	149
963	3886	145
964	3888	141
965	3890	136
966	3892	132
967	3894	128
968	3898	124
969	3900	120
970	3902	116
971	3903	112
972	3905	108
973	3907	104
974	3914	100
975	3916	96
976	3918	92
977	3920	88
978	3921	84
979	3923	80
980	3927	76
981	3931	72
982	3932	68
983	3934	63
984	3935	59
985	3937	55
986	3939	51
987	3943	47
988	3945	43
989	3946	39
990	3949	35
991	3951	31
992	3953	27
993	3955	23
994	3961	19
995	3963	15
996	3965	11
997	3967	7
998	3968	3
999	3970	0
